    ,Serial Number,Course Name,Course Code,Course Acronym,Prerequisites,Preferable_Prerequisites,Antirequisites,Semester,Professor,Credits,Cluster,OptionalDept,embed_link
,193,Integral Transforms and their Applications,MTH571,ITA,"""MTH204""",MTH341,None,Winter,Sarthok Sircar,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSoWHn26BfsSc2SfkvJKVzLx1Yiz2UxCMkLsD3AiXXMUHIMD-6VkRo6SGxwCctBtRoiWPozBeI7W0wF/pubhtml?gid=1821949874&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,400,Categorical Data Analysis,MTH576,CDA,MTH201,"Statistical Inference, Econometrics I/Statistical Signal processing/Machine Learning",None,Monsoon,Monika Arora,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vQqMIYnMuiDnhEAwd6ehJRwu7-h4Dh1w9jsH-VQBYDOEEACv72L2-eI7vvyZSPVCA/pubhtml?widget=true&amp;headers=false""></iframe>"
,194,Convex Optimization,MTH577,COO,"""MTH100""",None,None,Winter,Rakesh Chaturvedi,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRpFmHJ82vgVnRuKzu8g_1EVafNU6HWi8fl82vfKIg2fWUsLSlGoGlzP8AfRr-wWD-4uQk74AKzmzxZ/pubhtml?gid=1770842976&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,402,Topics on Multivariate Analysis,MTH578A,TMA,"MTH201, 
MTH100",MTH372,None,Winter,Monika Arora,2,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTU4tlft-PFAC7S9tiBlPV6mbeCYd3epdi4G2PBbDp5FkO0gPlzCOtEDvy8pq1j1A/pubhtml?widget=true&amp;headers=false""></iframe>"
,195,Percolation Theory,MTH579,,"MTH 102 Probability and Statistics, or equivalent / MTH 371 Stochastic Processes and Applications, or equivalent.",None,None,Winter,Rahul Roy,4,Maths,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTdjafAuu3x0h8K0p3W2btlTYjYQwFYD1G136l7r8mjqHZ8baFx8sWq49tDoYWyDA/pubhtml?widget=true&amp;headers=false""></iframe>"
,404,Numerical Partial Differential Equations,MTH598,NPDE,"""MTH100, MTH203, MTH240""",None,MTH570,Winter,Kaushik Kalyanaraman,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vRz3-e1oKwuVgrFsdhs835grpC8-WVvSaklONC0JXwCNSfZo2J78AORaRg6CpydCS9RL2QT3ut811UU/pubhtml?gid=734016398&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,196,Variational Calculus and their Applications,MTH599,VCA,MTH203,None,None,Winter,Sarthok Sircar,4,MTH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vT-yIdOiLhad1RC-Wv5jbQjZXyDMetuKGMssgFoQZ0KmWQ-b23FiL6piRuTFtpXAGRKM-BiZJaC7xUZ/pubhtml?gid=60670379&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,406,Introduction to Psychology,PSY201,Psy,SSH101,None,None,Monsoon,Sonia Baloni Ray,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSa3z6T29z1AkTMoqjXsnPYkyndy5O_CNmFF4xRFHF_hzJn-0q-wVwi0o1D-l0aJ-23iaGzhefg9meW/pubhtml?gid=176935518&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,197,Positive Psychology,PSY202,Ppsy,None,None,None,Winter,Information not available,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vSfiFg8yDQH7DOS3FP1W5AE9WSJSEQ4Tp9kgOyMgJ88DFWq3t-tO0zD9fYgRRyX12rr_CdP57T0rQXO/pubhtml?gid=753902238&amp;single=true&amp;widget=true&amp;headers=false""></iframe>"
,408,Cognitive Psychology,PSY301,CP,None,None,None,Winter,Venkata Ratnadeep Suri,4,SSH,None,"<iframe src=""https://docs.google.com/spreadsheets/d/e/2PACX-1vTWbDMQS_5U1F26Qll6FBpKT4Humq7kdEqaYzWaY2JtAwd8f_4eh1RbrlKd_QKu3Q/pubhtml?widget=true&amp;headers=false""></iframe>"
